feature,importance
ma_long,0.09456154637516807
bb_bbm,0.07367753438285753
volume_ratio,0.07358587774863666
bb_bbh,0.0647337437454546
volume,0.05535852375394529
atr,0.05484499121855812
atr_ratio,0.054431422261366116
close,0.05019796305300905
rsi,0.049151260841685994
high,0.04389311246348624
ma_short,0.04258581455805003
open,0.03859321115365233
low,0.03703015052918761
bb_bbl,0.03668821291910836
roc,0.03611018363462913
macd_signal,0.03501480123135091
stoch_d,0.03375794718061357
stoch_smooth_k,0.03374642533079129
stoch,0.03167993080419083
macd,0.030657541742776188
stoch_k,0.029699805071482115
